binary	scenario	network	metric	selected_threads	best_threads	boundary_threads	selection_probability_within_tolerance	best_p50	selected_p50	selected_vs_best_ratio	selected_vs_best_ci95_low	selected_vs_best_ci95_high	plateau_sentinel_count	edge_status	decision_status	reason
neqoperf	datagram	iouring	datagrams_per_second				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	not_ready	not_ready	no_ready_rows;t1:p50_ci_width_0.0744_gt_0.0500;block_median_ratio_1.1091_gt_1.1000
neqoperf	datagram	syscall	datagrams_per_second	1	1	2	1.000000	2291167.668634	2291167.668634	1.000000	1.000000	1.000000	1	ok	ready	
noqperf	datagram	iouring	datagrams_per_second	2	2	3	1.000000	2486435.654830	2486435.654830	1.000000	1.000000	1.000000	1	ok	ready	
noqperf	datagram	syscall	datagrams_per_second	2	2	3	1.000000	2770723.991347	2770723.991347	1.000000	1.000000	1.000000	1	ok	ready	
quicheperf	datagram	iouring	datagrams_per_second				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	not_ready	not_ready	no_ready_rows;t1:p50_ci_width_0.0682_gt_0.0500;block_median_ratio_1.2905_gt_1.1000;drift_-0.0426_gt_0.0300
quicheperf	datagram	syscall	datagrams_per_second				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	not_ready	not_ready	no_ready_rows;t1:p50_ci_width_0.0516_gt_0.0500
quiczigperf	datagram	iouring	datagrams_per_second				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	not_ready	not_ready	no_ready_rows;t1:block_median_ratio_1.1514_gt_1.1000
quiczigperf	datagram	syscall	datagrams_per_second	3	3		1.000000	4511779.530507	4511779.530507	1.000000	1.000000	1.000000	0	edge	not_ready	sentinels_0_lt_1;max_threads_reached
quinnperf	datagram	iouring	datagrams_per_second				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	not_ready	not_ready	no_ready_rows;t1:p50_ci_width_0.0527_gt_0.0500;block_median_ratio_1.1189_gt_1.1000;drift_-0.0315_gt_0.0300
quinnperf	datagram	syscall	datagrams_per_second				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	not_ready	not_ready	no_ready_rows;t1:p50_ci_width_0.0637_gt_0.0500;block_median_ratio_1.1081_gt_1.1000;drift_-0.0359_gt_0.0300
s2nperf	datagram	iouring	datagrams_per_second	1	1	2	1.000000	1620893.219598	1620893.219598	1.000000	1.000000	1.000000	0	not_ready	not_ready	sentinels_0_lt_1;t2:block_median_ratio_1.2251_gt_1.1000;drift_0.0349_gt_0.0300
s2nperf	datagram	syscall	datagrams_per_second	1	1	2	1.000000	1789720.516913	1789720.516913	1.000000	1.000000	1.000000	0	not_ready	not_ready	sentinels_0_lt_1;t2:p50_ci_width_0.1038_gt_0.0500;p80_p20_1.3014_gt_1.1500;block_median_ratio_1.3476_gt_1.1000;drift_-0.0340_gt_0.0300
