rank	binary	score_median	score_ci95_low	score_ci95_high	rank_low	rank_high	rank_status
1	ngtcp2perf	85.745640	85.459940	86.118165	1	1	stable
2	lsperf	78.719207	77.781984	79.657464	2	2	stable
3	quiczigperf	64.858720	64.234150	65.557814	3	3	stable
4	quicheperf	62.545866	61.952032	63.192556	4	5	band
5	xquicperf	60.944519	60.345205	62.052026	4	5	band
6	picoperf	58.824290	58.225802	59.541309	6	8	band
7	quinnperf	58.480725	58.107340	58.917149	6	8	band
8	tquicperf	58.274582	57.784158	58.791950	7	8	band
9	noqperf	55.493038	55.231302	55.772969	9	9	stable
10	s2nperf	52.132947	51.728074	52.573304	10	10	stable
11	neqoperf	48.609458	48.390449	48.837801	11	11	stable
12	mvfstperf	46.024704	45.703481	46.383816	12	12	stable
