binary	score_median	score_ci95_low	score_ci95_high	rank_low	rank_high	rank_status
ngtcp2perf	79.419733	79.190606	79.980983	1	1	stable
lsperf	71.465567	70.291990	72.597818	2	2	stable
picoperf	63.650605	63.207543	64.682624	3	3	stable
quicheperf	61.495957	59.275993	61.875222	4	5	band
quiczigperf	61.783781	61.326667	62.839683	4	5	band
tquicperf	53.694092	53.348503	54.108038	6	7	band
quinnperf	52.518418	51.127694	53.655446	6	7	band
noqperf	50.235787	49.265697	51.054331	8	8	stable
mvfstperf	44.488609	44.286434	44.685650	9	9	stable
xquicperf	42.750164	42.520745	42.956962	10	10	stable
s2nperf	42.133523	41.909678	42.361781	11	11	stable
neqoperf	40.865750	40.621541	41.104203	12	12	stable
